prompt_id,mode,seed,raw_prompt,final_prompt,wav_path
1,raw,42,A luxurious indietronica instrumental for a high-end perfume advertisement,A luxurious indietronica instrumental for a high-end perfume advertisement,../experiments/results/raw/prompt01_seed42.wav
1,structured_json,42,A luxurious indietronica instrumental for a high-end perfume advertisement,"```json {   ""genre"": ""indietronica"",   ""mood"": ""luxurious, elegant, sophisticated"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""synthesizer"", ""guitar""],   ""harmony"": ""multiphonic, complex"",   ""texture"": ""textured, layered, rich"",   ""structure"": ""uplifting, flowing, dreamy"",   ""production"": ""high fidelity, polished, professional"",   ""use_case"": ""high-end perfume advertisement"",   ""negative"": ""avoid over-the-top, excessive use of electronic sounds"" } ```",../experiments/results/structured_json/prompt01_seed42.wav
1,structured_nl,42,A luxurious indietronica instrumental for a high-end perfume advertisement,"Genre: indietronica. Mood: luxurious, elegant, sophisticated. Tempo: medium. Rhythm: 4/4. Instruments: synthesizer, guitar. Harmony: multiphonic, complex. Texture: textured, layered, rich. Structure: uplifting, flowing, dreamy. Production style: high fidelity, polished, professional. Use case: high-end perfume advertisement. Avoid the following: avoid over-the-top, excessive use of electronic sounds.",../experiments/results/structured_nl/prompt01_seed42.wav
2,raw,42,A calm ambient background music for meditation and relaxation,A calm ambient background music for meditation and relaxation,../experiments/results/raw/prompt02_seed42.wav
2,structured_json,42,A calm ambient background music for meditation and relaxation,"```json {   ""genre"": ""ambient, atmospheric, easylistening"",   ""mood"": ""calm, meditative, relaxing"",   ""tempo"": ""70.6 bpm"",   ""rhythm"": ""4/4"",   ""instruments"": [""piano"", ""flute""],   ""harmony"": ""soft, gentle arpeggios"",   ""texture"": ""smooth, layered soundscapes"",   ""structure"": ""long, sustained notes with soft chord changes"",   ""production"": ""high quality, serene sound design"",   ""use_case"": ""meditation, yoga, spa, massage, sleep aid"",   ""negative"": ""may not have enough energy for active activities"" } ```",../experiments/results/structured_json/prompt02_seed42.wav
2,structured_nl,42,A calm ambient background music for meditation and relaxation,"Genre: ambient, atmospheric, easylistening. Mood: calm, meditative, relaxing. Tempo: 70.6 bpm. Rhythm: 4/4. Instruments: piano, flute. Harmony: soft, gentle arpeggios. Texture: smooth, layered soundscapes. Structure: long, sustained notes with soft chord changes. Production style: high quality, serene sound design. Use case: meditation, yoga, spa, massage, sleep aid. Avoid the following: may not have enough energy for active activities.",../experiments/results/structured_nl/prompt02_seed42.wav
3,raw,42,An upbeat electronic track with a steady rhythm for a tech product launch,An upbeat electronic track with a steady rhythm for a tech product launch,../experiments/results/raw/prompt03_seed42.wav
3,structured_json,42,An upbeat electronic track with a steady rhythm for a tech product launch,"```json {   ""genre"": ""electronic"",   ""mood"": ""upbeat"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""synthesizer"", ""drum machine""],   ""harmony"": ""synth lead melody over synth pad chords"",   ""texture"": ""bright and shimmering"",   ""structure"": ""introduction, verse, chorus, bridge, outro"",   ""production"": ""clean and modern sounding, high fidelity mixing and mastering"",   ""use_case"": ""tech product launch event or promotional video"",   ""negative"": ""avoid using any sounds that could be associated with copyright infringement"" } ```",../experiments/results/structured_json/prompt03_seed42.wav
3,structured_nl,42,An upbeat electronic track with a steady rhythm for a tech product launch,"Genre: electronic. Mood: upbeat. Tempo: medium. Rhythm: 4/4. Instruments: synthesizer, drum machine. Harmony: synth lead melody over synth pad chords. Texture: bright and shimmering. Structure: introduction, verse, chorus, bridge, outro. Production style: clean and modern sounding, high fidelity mixing and mastering. Use case: tech product launch event or promotional video. Avoid the following: avoid using any sounds that could be associated with copyright infringement.",../experiments/results/structured_nl/prompt03_seed42.wav
4,raw,42,A cinematic orchestral score with suspense and tension,A cinematic orchestral score with suspense and tension,../experiments/results/raw/prompt04_seed42.wav
4,structured_json,42,A cinematic orchestral score with suspense and tension,"```json {   ""genre"": ""classical, soundtrack"",   ""mood"": ""advertising, epic, powerful, trailer"",   ""tempo"": ""120.0 bpm"",   ""rhythm"": ""4/4"",   ""instruments"": [""drums"", ""horns"", ""strings""],   ""harmony"": ""dark, dissonant, tense"",   ""texture"": ""thick, layered"",   ""structure"": ""intense build-up, climax, resolution"",   ""production"": ""high-end, grandiose"",   ""use_case"": ""trailer, video game soundtrack, movie scene"",   ""negative"": ""too intense, overwhelming"" } ```",../experiments/results/structured_json/prompt04_seed42.wav
4,structured_nl,42,A cinematic orchestral score with suspense and tension,"Genre: classical, soundtrack. Mood: advertising, epic, powerful, trailer. Tempo: 120.0 bpm. Rhythm: 4/4. Instruments: drums, horns, strings. Harmony: dark, dissonant, tense. Texture: thick, layered. Structure: intense build-up, climax, resolution. Production style: high-end, grandiose. Use case: trailer, video game soundtrack, movie scene. Avoid the following: too intense, overwhelming.",../experiments/results/structured_nl/prompt04_seed42.wav
5,raw,42,A smooth jazz instrumental suitable for a late-night lounge atmosphere,A smooth jazz instrumental suitable for a late-night lounge atmosphere,../experiments/results/raw/prompt05_seed42.wav
5,structured_json,42,A smooth jazz instrumental suitable for a late-night lounge atmosphere,"```json {   ""genre"": ""jazz"",   ""mood"": ""relaxing, sophisticated"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""piano"", ""guitar"", ""bass"", ""drums""],   ""harmony"": ""丰富而流畅的和弦进行"",   ""texture"": ""平滑而细腻的音质"",   ""structure"": ""流畅的旋律线条，舒缓的节奏变化"",   ""production"": ""高质量的录音，混音效果出色"",   ""use_case"": ""高档餐厅、酒吧、咖啡厅背景音乐"",   ""negative"": ""避免使用过于激进或复杂的乐器组合"" } ```",../experiments/results/structured_json/prompt05_seed42.wav
5,structured_nl,42,A smooth jazz instrumental suitable for a late-night lounge atmosphere,"Genre: jazz. Mood: relaxing, sophisticated. Tempo: medium. Rhythm: 4/4. Instruments: piano, guitar, bass, drums. Harmony: 丰富而流畅的和弦进行. Texture: 平滑而细腻的音质. Structure: 流畅的旋律线条，舒缓的节奏变化. Production style: 高质量的录音，混音效果出色. Use case: 高档餐厅、酒吧、咖啡厅背景音乐. Avoid the following: 避免使用过于激进或复杂的乐器组合.",../experiments/results/structured_nl/prompt05_seed42.wav
6,raw,42,A futuristic synthwave track inspired by neon-lit cityscapes,A futuristic synthwave track inspired by neon-lit cityscapes,../experiments/results/raw/prompt06_seed42.wav
6,structured_json,42,A futuristic synthwave track inspired by neon-lit cityscapes,"```json {   ""genre"": ""synthwave"",   ""mood"": ""bright, energetic, futuristic"",   ""tempo"": ""fast"",   ""rhythm"": ""4/4"",   ""instruments"": [""synthesizer"", ""guitar""],   ""harmony"": ""uplifting, pulsing"",   ""texture"": ""glitchy, shimmering"",   ""structure"": ""build-up, drop"",   ""production"": ""high-tech, polished"",   ""use_case"": ""music for sci-fi movies or video games"",   ""negative"": ""avoid over-saturation of sounds"" } ```",../experiments/results/structured_json/prompt06_seed42.wav
6,structured_nl,42,A futuristic synthwave track inspired by neon-lit cityscapes,"Genre: synthwave. Mood: bright, energetic, futuristic. Tempo: fast. Rhythm: 4/4. Instruments: synthesizer, guitar. Harmony: uplifting, pulsing. Texture: glitchy, shimmering. Structure: build-up, drop. Production style: high-tech, polished. Use case: music for sci-fi movies or video games. Avoid the following: avoid over-saturation of sounds.",../experiments/results/structured_nl/prompt06_seed42.wav
7,raw,42,A soft acoustic guitar piece for a travel vlog intro,A soft acoustic guitar piece for a travel vlog intro,../experiments/results/raw/prompt07_seed42.wav
7,structured_json,42,A soft acoustic guitar piece for a travel vlog intro,"```json {   ""genre"": ""acoustic, folk, pop"",   ""mood"": ""relaxing, soothing, calming"",   ""tempo"": ""slow"",   ""rhythm"": ""4/4"",   ""instruments"": [""acoustic guitar""],   ""harmony"": ""简单，和谐"",   ""texture"": ""平滑，温暖"",   ""structure"": ""流畅，舒缓"",   ""production"": ""高质量录音，混响效果"",   ""use_case"": ""旅行视频背景音乐"",   ""negative"": ""避免使用快速节奏或过于激烈的乐器"" } ```",../experiments/results/structured_json/prompt07_seed42.wav
7,structured_nl,42,A soft acoustic guitar piece for a travel vlog intro,"Genre: acoustic, folk, pop. Mood: relaxing, soothing, calming. Tempo: slow. Rhythm: 4/4. Instruments: acoustic guitar. Harmony: 简单，和谐. Texture: 平滑，温暖. Structure: 流畅，舒缓. Production style: 高质量录音，混响效果. Use case: 旅行视频背景音乐. Avoid the following: 避免使用快速节奏或过于激烈的乐器.",../experiments/results/structured_nl/prompt07_seed42.wav
8,raw,42,A dreamy lo-fi beat with vinyl texture for studying,A dreamy lo-fi beat with vinyl texture for studying,../experiments/results/raw/prompt08_seed42.wav
8,structured_json,42,A dreamy lo-fi beat with vinyl texture for studying,"```json {   ""genre"": ""beats, lo-fi"",   ""mood"": ""relaxing, studying"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""bass"", ""drums""],   ""harmony"": """",   ""texture"": ""vinyl"",   ""structure"": ""standard beat structure"",   ""production"": """",   ""use_case"": ""studying, relaxing"",   ""negative"": ""avoid using this beat while driving or operating heavy machinery"" } ```",../experiments/results/structured_json/prompt08_seed42.wav
8,structured_nl,42,A dreamy lo-fi beat with vinyl texture for studying,"Genre: beats, lo-fi. Mood: relaxing, studying. Tempo: medium. Rhythm: 4/4. Instruments: bass, drums. Texture: vinyl. Structure: standard beat structure. Use case: studying, relaxing. Avoid the following: avoid using this beat while driving or operating heavy machinery.",../experiments/results/structured_nl/prompt08_seed42.wav
9,raw,42,An energetic rock instrumental for a sports highlight video,An energetic rock instrumental for a sports highlight video,../experiments/results/raw/prompt09_seed42.wav
9,structured_json,42,An energetic rock instrumental for a sports highlight video,"Here's the JSON representation of the prompt: ```json {   ""genre"": ""rock"",   ""mood"": ""energetic"",   ""tempo"": ""fast"",   ""rhythm"": ""4/4"",   ""instruments"": [""guitar"", ""drums""],   ""harmony"": ""uplifting and driving"",   ""texture"": ""full and gritty"",   ""structure"": ""build-up, climax, release"",   ""production"": ""high fidelity, polished sound"",   ""use_case"": ""sports highlight video"",   ""negative"": ""avoid over-the-top effects that distract from the action"" } ```  Note: The `negative` field is added to prevent common generation failures. It suggests avoiding over-the-top effects that could distract from the sports action in the highlight video.",../experiments/results/structured_json/prompt09_seed42.wav
9,structured_nl,42,An energetic rock instrumental for a sports highlight video,"Genre: rock. Mood: energetic. Tempo: fast. Rhythm: 4/4. Instruments: guitar, drums. Harmony: uplifting and driving. Texture: full and gritty. Structure: build-up, climax, release. Production style: high fidelity, polished sound. Use case: sports highlight video. Avoid the following: avoid over-the-top effects that distract from the action.",../experiments/results/structured_nl/prompt09_seed42.wav
10,raw,42,A minimal piano composition with emotional depth,A minimal piano composition with emotional depth,../experiments/results/raw/prompt10_seed42.wav
10,structured_json,42,A minimal piano composition with emotional depth,"```json {   ""genre"": ""classical"",   ""mood"": ""emotional"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""piano""],   ""harmony"": ""monophonic"",   ""texture"": ""soft and warm"",   ""structure"": ""introduction, melody, repetition"",   ""production"": ""high quality recording"",   ""use_case"": ""music therapy, relaxation, meditation"",   ""negative"": ""may not appeal to everyone due to its classical genre"" } ```",../experiments/results/structured_json/prompt10_seed42.wav
10,structured_nl,42,A minimal piano composition with emotional depth,"Genre: classical. Mood: emotional. Tempo: medium. Rhythm: 4/4. Instruments: piano. Harmony: monophonic. Texture: soft and warm. Structure: introduction, melody, repetition. Production style: high quality recording. Use case: music therapy, relaxation, meditation. Avoid the following: may not appeal to everyone due to its classical genre.",../experiments/results/structured_nl/prompt10_seed42.wav
